Name,%,Price,Rating,Release,Ends,Started
Summoner  Week Long Deal,-75%,"R$ 2,12",78.92%,Mar 2001,,
"SimCity™ 3000 Unlimited   all-time low: R$ 6,79 at -60%",-50%,"R$ 12,00",78.89%,Mar 2024,,
Taimanin Asagi,-20%,"R$ 37,59",78.88%,Oct 2023,,
Let's play Cards Solitaire  new historical low,-86%,"R$ 2,37",78.87%,Sep 2024,,
Fatermyth  new historical low,-30%,"R$ 23,09",78.87%,Apr 2024,,
"Erannorth Reborn  Week Long Deal all-time low: R$ 7,46 at -70%",-75%,"R$ 13,74",78.84%,Oct 2019,,
"8-Bit Armies   all-time low: R$ 9,51 at -66%",-50%,"R$ 23,49",78.82%,Apr 2016,,
"Internet Cafe & Supermarket Simulator 2024   all-time low: R$ 31,48 at -33%",-32%,"R$ 31,95",78.81%,Sep 2024,,
Thriving City: Song  new historical low,-30%,"R$ 40,59",78.77%,May 2024,,
"Yooka-Laylee and the Impossible Lair   all-time low: R$ 14,49 at -75%",-90%,"R$ 15,99",78.76%,Oct 2019,,
Eden's Ritter - Paladins of Ecstasy,-80%,"R$ 11,59",78.76%,Jul 2020,,
皎月坠落之时  Introductory Offernew historical low,-10%,"R$ 26,99",78.72%,Oct 2024,,
"We Were Here Too   all-time low: R$ 3,10 at -85%",-70%,"R$ 9,89",78.71%,Feb 2018,,
"RPG Maker 2000   all-time low: R$ 4,59 at -90%",-90%,"R$ 7,39",78.68%,Jul 2015,,
"Gnomes Garden 3: The thief of castles   all-time low: R$ 1,04 at -90%",-28%,"R$ 12,79",78.68%,Dec 2016,—,
"Penarium   all-time low: R$ 2,99 at -85%",-80%,"R$ 3,99",78.67%,Sep 2015,,
"Mashiroiro Symphony HD -Love is Pure White-   all-time low: R$ 64,79 at -40%",-20%,"R$ 86,39",78.67%,May 2024,,
Karate Survivor  Introductory Offernew historical low,-10%,"R$ 15,29",78.67%,Oct 2024,,
"Beyond Sunset   all-time low: R$ 25,30 at -53%",-45%,"R$ 30,84",78.64%,Nov 2023,—,
"Cooking Simulator VR   all-time low: R$ 28,49 at -40%",-37%,"R$ 42,85",78.57%,Jul 2021,—,
"Anglerfish   all-time low: R$ 7,24 at -65%",-70%,"R$ 9,89",78.53%,Nov 2022,,
"In Woods  Week Long Deal all-time low: R$ 3,59 at -20%",-40%,"R$ 10,19",78.53%,Aug 2024,,
"Heroine Anthem Zero 2 : Scalescars Oath   all-time low: R$ 18,99 at -50%",-40%,"R$ 22,79",78.51%,Feb 2022,,
"Virtual Pool 4  Week Long Deal all-time low: R$ 18,39 at -60%",-40%,"R$ 27,59",78.50%,May 2015,,
"Barro GT   all-time low: R$ 0,57 at -90%",-90%,"R$ 1,74",78.48%,May 2022,,
"Making History: The Calm and the Storm Gold Edition  Week Long Deal all-time low: R$ 2,62 at -75%",-75%,"R$ 4,24",78.48%,Jul 2008,,
"Mr. Prepper   all-time low: R$ 17,99 at -70%",-46%,"R$ 59,91",78.45%,Mar 2021,—,
Three Kingdom: The Journey  Week Long Deal,-45%,"R$ 14,78",78.45%,Apr 2023,,
"Tomboy: Sex in the Forest  Week Long Deal all-time low: R$ 8,27 at -40%",-33%,"R$ 9,23",78.44%,Apr 2024,,
"Need for Speed™ Hot Pursuit Remastered   all-time low: R$ 14,90 at -90%",-75%,"R$ 37,25",78.43%,Nov 2020,,
"Ship Graveyard Simulator 2   all-time low: R$ 40,19 at -33%",-35%,"R$ 70,81",78.43%,Aug 2023,—,
"Oneiros   all-time low: R$ 2,72 at -75%",-70%,"R$ 5,09",78.42%,Mar 2020,,
"Worms   all-time low: R$ 2,09 at -85%",-80%,"R$ 2,79",78.37%,Oct 1995,,
Fae Farm  Week Long Dealnew historical low,-25%,"R$ 66,74",78.36%,Sep 2023,,
Siege of Dungeon,-30%,"R$ 29,39",78.35%,Nov 2023,,
"Back to Bed   all-time low: R$ 1,19 at -90%",-80%,"R$ 2,39",78.34%,Aug 2014,,
DOOMBLADE  new historical low,-66%,"R$ 16,99",78.34%,May 2023,,
"Bloody Heaven 2   all-time low: R$ 5,09 at -70%",-65%,"R$ 5,94",78.31%,May 2024,,
"Jury - Episode 1: Before the Trial  Week Long Deal all-time low: R$ 12,29 at -40%",-25%,"R$ 15,36",78.31%,Apr 2023,,
"Unravel Two   all-time low: R$ 5,90 at -90%",-75%,"R$ 27,25",78.25%,Jun 2018,,
"Resident Evil Revelations   all-time low: R$ 13,79 at -77%",-75%,"R$ 21,00",78.25%,May 2013,,
Synergy,-30%,"R$ 51,79",78.24%,May 2024,,
Craft Hero,-50%,"R$ 5,44",78.23%,Oct 2022,—,
"Bear With Me - Collector's Edition   all-time low: R$ 14,48 at -30%",-14%,"R$ 98,43",78.18%,Feb 2018,—,
"VR Regatta - The Sailing Game  Week Long Deal all-time low: R$ 5,79 at -90%",-75%,"R$ 14,49",78.17%,Jan 2018,,
Dungeons & Dragons: Chronicles of Mystara,-67%,"R$ 8,24",78.13%,Jun 2013,,
Sovereign Syndicate  new historical low,-30%,"R$ 41,99",78.13%,Jan 2024,,
"Pocket Cars  Week Long Deal all-time low: R$ 13,94 at -50%",-40%,"R$ 29,99",78.12%,Jan 2020,,
"Lost Planet™: Extreme Condition   all-time low: R$ 4,99 at -80%",-77%,"R$ 5,74",78.09%,Jun 2007,,
"aMAZE   2-year low: R$ 1,32",-72%,"R$ 1,95",78.08%,Mar 2017,,
"No King No Kingdom   all-time low: R$ 8,69 at -70%",-60%,"R$ 11,59",78.03%,Feb 2020,,
Strike Force Heroes  new historical low,-30%,"R$ 41,99",78.03%,Nov 2023,,
Messy Up  new historical low,-13%,"R$ 23,04",78.00%,Jun 2024,—,
Gal*Gun VR,-75%,"R$ 13,99",77.99%,Aug 2017,,
"Shootout on Cash Island  Week Long Deal all-time low: R$ 1,12 at -75%",-70%,"R$ 2,09",77.99%,Jan 2018,,
"古剑奇谭(GuJian)   all-time low: R$ 2,39 at -90%",-50%,"R$ 11,99",77.95%,Jul 2010,,
"Legend of Merchant   all-time low: R$ 3,86 at -10%",-25%,"R$ 5,24",77.95%,Dec 2016,2 days ago,16 days ago
Xuan-Yuan Sword: Mists Beyond the Mountains,-50%,"R$ 22,24",77.90%,Jul 2023,in 2 days,5 days ago
TrackMania² Canyon   current 2-year low,-50%,"R$ 29,99",77.90%,Sep 2011,in 6 days,8 days ago
"Spirit Realm   all-time low: R$ 41,99 at -20%",-11%,"R$ 46,71",77.83%,Jun 2024,in 10 days,4 days ago
Romance of the Three Kingdoms X with Power Up Kit,-66%,"R$ 19,71",77.81%,Dec 2017,in 3 hours,4 days ago
"Legend of Homebody   all-time low: R$ 9,29 at -25%",-37%,"R$ 12,90",77.80%,Jul 2021,2 days ago,16 days ago
"Fairy Biography3 : Obsession  Week Long Deal all-time low: R$ 7,25 at -50%",-30%,"R$ 10,15",77.80%,Mar 2023,in 3 hours,7 days ago
"Quest Hunter  Week Long Deal all-time low: R$ 7,59 at -80%",-80%,"R$ 11,99",77.79%,Mar 2019,in 3 hours,7 days ago
Volley Court,-40%,"R$ 12,29",77.78%,Nov 2022,in 9 days,5 days ago
Rogue Waters,-20%,"R$ 71,19",77.78%,Sep 2024,in 9 days,5 days ago
"Shadowhand: RPG Card Game   all-time low: R$ 5,79 at -80%",-75%,"R$ 11,74",77.75%,Dec 2017,in 9 days,5 days ago
"Time Lock VR 2   all-time low: R$ 1,16 at -99%",-31%,"R$ 6,42",77.72%,Jul 2022,—,5 days ago
GOD EATER 3  Week Long Deal,-90%,"R$ 22,99",77.71%,Feb 2019,in 3 hours,7 days ago
STRIDER™ / ストライダー飛竜®,-70%,"R$ 7,49",77.66%,Feb 2014,in 10 days,4 days ago
"Snowballs   all-time low: R$ 1,14 at -50%",-50%,"R$ 1,74",77.66%,Nov 2020,in 3 days,11 days ago
"Resident Evil 6   all-time low: R$ 16,98 at -83%",-75%,"R$ 21,00",77.62%,Mar 2013,tomorrow,13 days ago
"Okinawa Rush  Week Long Deal all-time low: R$ 11,39 at -70%",-10%,"R$ 29,69",77.62%,Oct 2021,in 3 hours,6 days ago
Tales of Kenzera™: ZAU,-30%,"R$ 76,30",77.56%,Apr 2024,in 3 hours,14 days ago
"Alice's Patchwork  Week Long Deal all-time low: R$ 1,08 at -90%",-70%,"R$ 3,14",77.55%,Mar 2016,in 3 hours,5 days ago
Sentimental K,-69%,"R$ 19,68",77.55%,Jan 2022,2 days ago,16 days ago
"Dexodonex   all-time low: R$ 0,66 at -71%",-90%,"R$ 1,74",77.54%,Dec 2016,in 8 days,6 days ago
"Dying Light 2 Stay Human: Reloaded Edition   all-time low: R$ 99,60 at -60%",-60%,"R$ 116,00",77.52%,Feb 2022,in 3 hours,5 days ago
The Endless Journey,-40%,"R$ 12,41",77.52%,Jan 2018,in 2 days,5 days ago
The Almost Gone,-80%,"R$ 4,13",77.49%,Jun 2020,in 3 hours,7 days ago
"The Slaughter: Act One   all-time low: R$ 3,49 at -75%",-50%,"R$ 11,75",77.47%,Jan 2016,in 3 hours,7 days ago
"X-Fitness   all-time low: R$ 9,49 at -75%",-32%,"R$ 33,64",77.46%,Dec 2020,—,5 days ago
"Nympho's Path  Week Long Deal all-time low: R$ 3,59 at -20%",-20%,"R$ 5,59",77.42%,Jul 2022,in 3 hours,7 days ago
Nightmare Knight ~Sacred Maiden & Fallen Magic~  Introductory Offernew historical low,-10%,"R$ 49,49",77.41%,Nov 2024,in 4 days,10 days ago
"Tribe: Primitive Builder   all-time low: R$ 34,68 at -48%",-47%,"R$ 35,04",77.37%,Oct 2023,3 days ago,5 days ago
Pile Up!,-40%,"R$ 14,99",77.35%,Jun 2023,in 9 days,5 days ago
"House Builder   all-time low: R$ 21,74 at -25%",-51%,"R$ 31,90",77.34%,Jan 2024,in 2 days,5 days ago
阿比斯的宝藏 - Treasure of abyss,-80%,"R$ 2,89",77.33%,Sep 2018,in 9 days,5 days ago
"Path Of Wuxia   all-time low: R$ 28,99 at -0%",-50%,"R$ 63,08",77.31%,Nov 2022,tomorrow,4 days ago
"Citizens: Far Lands   all-time low: R$ 5,99 at -80%",-35%,"R$ 19,49",77.31%,Jul 2022,in 8 days,6 days ago
Dr. Chatelet: Faith 神医,-20%,"R$ 13,59",77.31%,Nov 2022,—,
Electrician Simulator  Week Long Dealnew historical low,-85%,"R$ 8,24",77.30%,Sep 2022,,
"球球少女/Pinball Girls   all-time low: R$ 4,11 at -45%",-40%,"R$ 4,49",77.30%,Feb 2021,,
"祖玛少女/Zuma Girls   all-time low: R$ 6,71 at -36%",-35%,"R$ 6,81",77.29%,May 2022,,
"Nya Nya Nya Girls (ʻʻʻ)_(=^･ω･^=)_(ʻʻʻ)   all-time low: R$ 0,85 at -81%",-50%,"R$ 1,74",77.28%,Dec 2018,,
Kao the Kangaroo  new historical low,-73%,"R$ 19,00",77.27%,May 2022,,
The Last Soldier of the Ming Dynasty  Week Long Deal,-25%,"R$ 35,24",77.25%,Dec 2023,,
"Giana Sisters: Twisted Dreams - Rise of the Owlverlord  Week Long Deal all-time low: R$ 0,84 at -90%",-80%,"R$ 9,99",77.22%,Sep 2013,,
"Gary Grigsby's War in the West  Week Long Deal all-time low: R$ 40,79 at -70%",-70%,"R$ 87,41",77.20%,Dec 2014,,
"Capitalism 2   all-time low: R$ 9,99 at -50%",-19%,"R$ 18,18",77.20%,Dec 2001,—,
"Ancestors Legacy   all-time low: R$ 8,01 at -96%",-90%,"R$ 10,19",77.05%,May 2018,,
"Hentai Killer   all-time low: R$ 0,72 at -68%",-50%,"R$ 1,74",77.01%,Sep 2019,,
Fading Afternoon,-40%,"R$ 35,99",77.00%,Sep 2023,,
Gal Guardians: Demon Purge  new historical low,-47%,"R$ 39,21",76.98%,Feb 2023,,
Warlords Under Siege,-35%,"R$ 14,94",76.95%,Dec 2022,,
"Songs of Wuxia   all-time low: R$ 2,89 at -80%",-50%,"R$ 6,89",76.94%,Sep 2020,,
"Boy VS Genius 贫穷少年与校园名人的生死对决  Week Long Deal all-time low: R$ 1,37 at -40%",-40%,"R$ 2,09",76.94%,Jun 2019,,
"DEPLOYMENT   all-time low: R$ 0,63 at -99%",-67%,"R$ 3,54",76.93%,Apr 2018,,
"The Wraith of the Galaxy   all-time low: R$ 1,87 at -99%",-18%,"R$ 13,34",76.92%,Feb 2023,—,
"Dead Effect 2 VR   all-time low: R$ 11,87 at -75%",-25%,"R$ 45,64",76.88%,Oct 2017,—,
"Turqu-chan in the Hentai Laboratory  Week Long Deal all-time low: R$ 26,84 at -25%",-20%,"R$ 28,63",76.87%,Oct 2023,,
"MXGP 2020 - The Official Motocross Videogame   all-time low: R$ 13,19 at -85%",-90%,"R$ 14,95",76.85%,Dec 2020,,
Sailing Era,-35%,"R$ 48,09",76.83%,Jan 2023,,
Total Tank Simulator  Week Long Deal,-60%,"R$ 15,19",76.82%,May 2020,,
The Adventure of Magical Girl  Week Long Deal,-73%,"R$ 1,75",76.80%,Jun 2018,,
"Realms of Magic   all-time low: R$ 7,59 at -80%",-70%,"R$ 11,39",76.80%,Jul 2022,,
"Ghost on the Shore   all-time low: R$ 26,59 at -30%",-20%,"R$ 43,20",76.80%,Feb 2022,—,
Monochrome Mobius: Rights and Wrongs Forgotten,-30%,"R$ 76,99",76.79%,Nov 2022,,
Journey to the West Survivor  new historical low,-50%,"R$ 10,24",76.77%,Mar 2024,,
"Aggressors: Ancient Rome   all-time low: R$ 11,59 at -80%",-81%,"R$ 16,90",76.74%,Aug 2018,,
"Ultros   all-time low: R$ 36,99 at -50%",-50%,"R$ 51,79",76.74%,Feb 2024,,
"Worms Crazy Golf   2-year low: R$ 2,99",-80%,"R$ 3,99",76.72%,Oct 2011,,
"挂姬恶魔 IDLE DEVILS   all-time low: R$ 10,34 at -25%",-20%,"R$ 11,03",76.70%,Jan 2024,,
"Four Sided Fantasy   all-time low: R$ 1,99 at -90%",-90%,"R$ 3,29",76.69%,Aug 2016,,
Kuroinu 2 Redux,-30%,"R$ 51,79",76.64%,Nov 2023,,
Agent in Depth,-55%,"R$ 4,72",76.62%,Jan 2024,,
"Fantasy Quest Solitaire   all-time low: R$ 1,85 at -90%",-88%,"R$ 2,23",76.61%,Jan 2018,,
"MotoGP™22   all-time low: R$ 16,49 at -85%",-85%,"R$ 22,42",76.61%,Apr 2022,,
"Spells & Secrets   all-time low: R$ 34,52 at -71%",-62%,"R$ 38,49",76.61%,Nov 2023,,
"Naked Story   all-time low: R$ 18,49 at -63%",-22%,"R$ 72,07",76.57%,Jul 2019,—,
"Resident Evil Revelations 2   all-time low: R$ 1,68 at -87%",-75%,"R$ 3,24",76.54%,Feb 2015,,
"Sinister Halloween   2-year low: R$ 3,26",-9%,"R$ 21,85",76.49%,Oct 2019,—,
"Ghostlore  Week Long Deal all-time low: R$ 30,39 at -20%",-25%,"R$ 44,99",76.47%,May 2023,,
Iwaihime,-80%,"R$ 11,59",76.46%,Oct 2020,,
"Barro   all-time low: R$ 0,00 at -100%",-86%,"R$ 4,68",76.45%,Mar 2018,—,
Melody/心跳旋律,-55%,"R$ 3,91",76.44%,Dec 2020,,
Farm Manager 2021,-81%,"R$ 14,98",76.42%,May 2021,,
Mech Armada,-80%,"R$ 7,59",76.42%,Jun 2022,,
"Hentai Girl Clicker  Week Long Deal all-time low: R$ 3,89 at -40%",-20%,"R$ 5,19",76.41%,Jul 2021,,
"Byte Family   all-time low: R$ 0,86 at -90%",-90%,"R$ 1,74",76.38%,Oct 2016,,
"Watch_Dogs™   all-time low: R$ 5,99 at -90%",-75%,"R$ 23,74",76.38%,May 2014,,
TrackMania² Valley   current 2-year low,-50%,"R$ 29,99",76.37%,Jul 2013,,
欢迎加入奇趣社  Week Long Deal,-50%,"R$ 16,49",76.35%,Apr 2023,,
"Oniken: Unstoppable Edition  Week Long Deal all-time low: R$ 0,89 at -90%",-50%,"R$ 6,49",76.31%,Feb 2014,,
"Observation   all-time low: R$ 11,87 at -75%",-75%,"R$ 18,49",76.28%,May 2020,,
"Beyond Good & Evil - 20th Anniversary Edition   all-time low: R$ 64,99 at -35%",-20%,"R$ 79,99",76.24%,Jun 2024,,
"Advanced Tactics Gold  Week Long Deal all-time low: R$ 18,47 at -67%",-67%,"R$ 29,36",76.23%,Apr 2011,,
Combo Card Clashers  new historical low,-25%,"R$ 28,86",76.22%,May 2024,,
"Miner Warfare   all-time low: R$ 1,13 at -82%",-69%,"R$ 3,25",76.16%,Apr 2012,,
"STAR WARS™ Battlefront   all-time low: R$ 11,80 at -80%",-75%,"R$ 14,75",76.12%,Nov 2015,,
"Daily Wife   all-time low: R$ 1,63 at -92%",-70%,"R$ 5,09",76.06%,Aug 2020,,
"Worms Clan Wars   all-time low: R$ 6,74 at -85%",-84%,"R$ 21,42",76.02%,Aug 2013,,
RONIN: Two Souls CHAPTER 1  new historical low,-92%,"R$ 2,31",76.01%,Feb 2021,,
CD 2: Trap Master,-25%,"R$ 35,24",76.01%,Mar 2024,,
Dead Rising® 2,-75%,"R$ 8,74",75.98%,Sep 2010,,
"Ninja Stealth 3   all-time low: R$ 0,57 at -90%",-8%,"R$ 4,02",75.98%,Dec 2017,—,
"Easy Red   all-time low: R$ 2,24 at -75%",-20%,"R$ 11,03",75.96%,Dec 2017,,
"Zen Chess: Mate in Two  Week Long Deal all-time low: R$ 1,14 at -50%",-45%,"R$ 1,91",75.95%,Apr 2019,,
"Need for Speed™ Most Wanted   all-time low: R$ 5,90 at -90%",-75%,"R$ 14,75",75.91%,Oct 2012,,
"Among Ass   all-time low: R$ 1,12 at -75%",-90%,"R$ 1,74",75.82%,Dec 2020,,
Horace  Week Long Deal,-70%,"R$ 8,69",75.82%,Jul 2019,,
"JQ: dogs & cats   all-time low: R$ 0,89 at -86%",-50%,"R$ 1,74",75.82%,Mar 2018,,
Auto Sale Life  new historical low,-20%,"R$ 17,59",75.79%,Sep 2024,,
Seifuku Kanojo  new historical low,-32%,"R$ 60,51",75.77%,Apr 2024,,
"MWNeus  Week Long Deal all-time low: R$ 26,39 at -20%",-17%,"R$ 27,38",75.77%,Aug 2024,,
"Storage Hunter Simulator   all-time low: R$ 52,32 at -57%",-11%,"R$ 67,46",75.76%,Oct 2024,—,
"Monster  Week Long Deal all-time low: R$ 2,59 at -60%",-50%,"R$ 3,24",75.74%,Sep 2022,,
Legend of Mortal,-10%,"R$ 53,99",75.72%,Jun 2024,—,
"The spy who shot me™  Week Long Deal all-time low: R$ 2,27 at -90%",-60%,"R$ 9,11",75.70%,Jan 2019,,
Moving Out  new historical low,-80%,"R$ 11,98",75.69%,Apr 2020,,
"Hentai Boy   all-time low: R$ 0,62 at -71%",-50%,"R$ 1,74",75.69%,May 2021,,
Strategic Mind: Spectre of Communism  Week Long Deal,-50%,"R$ 28,99",75.68%,Nov 2020,,
HSS:Reload  new historical low,-21%,"R$ 23,69",75.66%,Sep 2024,,
"Gone Home   all-time low: R$ 4,19 at -85%",-76%,"R$ 11,27",75.63%,Aug 2013,,
"SOS OPS!   all-time low: R$ 2,25 at -85%",-75%,"R$ 3,75",75.62%,Nov 2023,,
Skybreakers  new historical low,-45%,"R$ 16,49",75.61%,Nov 2023,,
"Ten Dates   all-time low: R$ 24,99 at -50%",-35%,"R$ 32,49",75.60%,Feb 2023,,
Eiyuden Chronicle: Hundred Heroes  Week Long Deal,-35%,"R$ 129,99",75.60%,Apr 2024,,
"All You Can Eat   all-time low: R$ 1,19 at -80%",-70%,"R$ 2,99",75.54%,Jul 2017,,
ARIA CHRONICLE  new historical low,-50%,"R$ 17,49",75.54%,Jul 2020,,
"Moving Out 2   all-time low: R$ 54,50 at -50%",-28%,"R$ 108,88",75.52%,Aug 2023,—,
Ark of Charon  Introductory Offernew historical low,-40%,"R$ 39,06",75.51%,Nov 2024,,
Capitalism Plus,-50%,"R$ 5,99",75.50%,Oct 1995,,
Endzone - A World Apart,-85%,"R$ 10,49",75.47%,Mar 2021,,
Ghosts 'n Goblins Resurrection,-67%,"R$ 29,69",75.47%,Jun 2021,,
"H Chan   all-time low: R$ 1,25 at -45%",-30%,"R$ 2,44",75.47%,Jun 2019,,
"SEX, BEACH & GIRLS ⛱ 💦   all-time low: R$ 16,45 at -30%",-25%,"R$ 17,62",75.46%,Aug 2024,,
"Animal Fight Club   all-time low: R$ 3,04 at -66%",-20%,"R$ 13,59",75.45%,Apr 2019,,
"WE ARE FOOTBALL 2024  Week Long Deal all-time low: R$ 24,99 at -50%",-38%,"R$ 30,99",75.40%,Mar 2024,,
"Party Animals   all-time low: R$ 32,47 at -50%",-40%,"R$ 38,97",75.39%,Sep 2023,,
Bish Bash Bots  new historical low,-30%,"R$ 69,99",75.38%,Oct 2023,,
GOD EATER 2 Rage Burst  Week Long Deal,-90%,"R$ 19,25",75.34%,Aug 2016,,
"Perfect Partner   all-time low: R$ 14,09 at -53%",-50%,"R$ 14,99",75.34%,Jun 2023,—,
CountryBalls Heroes,-50%,"R$ 14,49",75.33%,Nov 2021,,
"Alice's Patchworks 2  Week Long Deal all-time low: R$ 1,08 at -90%",-70%,"R$ 3,14",75.32%,Oct 2016,,
"The Forest of Doom (Standalone)  Week Long Deal all-time low: R$ 3,14 at -70%",-50%,"R$ 5,24",75.31%,Oct 2014,,
Railroads & Catacombs,-25%,"R$ 39,36",75.31%,Sep 2023,,
Lumencraft  new historical low,-75%,"R$ 14,99",75.30%,Feb 2023,,
"The Complex   all-time low: R$ 8,87 at -67%",-54%,"R$ 21,61",75.27%,Mar 2020,,
Sword Art Online Re: Hollow Fragment  Week Long Deal,-75%,"R$ 9,49",75.24%,Aug 2018,,
Pawn Planet  new historical low,-20%,"R$ 26,39",75.21%,Aug 2024,,
Rogue Spirit  Week Long Deal,-40%,"R$ 35,99",75.17%,Mar 2023,,
Hidden Cats In Town,-30%,"R$ 4,89",75.17%,Apr 2023,,
Dead Rising 2: Off the Record,-75%,"R$ 9,99",75.12%,Oct 2011,,
"Drake Hollow   all-time low: R$ 23,19 at -60%",-75%,"R$ 24,99",75.09%,Oct 2020,,
Narita Boy,-90%,"R$ 13,39",75.03%,Mar 2021,,
"Scorn   all-time low: R$ 18,99 at -75%",-75%,"R$ 49,75",75.00%,Oct 2022,,
"Zero Caliber VR   all-time low: R$ 13,74 at -84%",-60%,"R$ 22,39",75.00%,Jul 2023,,
"Neko Candy Shop   all-time low: R$ 0,68 at -70%",-50%,"R$ 1,74",74.95%,Sep 2021,,
"RPG Maker VX   all-time low: R$ 7,29 at -90%",-90%,"R$ 10,79",74.93%,Feb 2008,,
Dead Rising 3 Apocalypse Edition,-80%,"R$ 16,99",74.92%,Sep 2014,,
Greak: Memories of Azur,-75%,"R$ 26,22",74.92%,Aug 2021,,
Pathless Woods  new historical low,-16%,"R$ 50,39",74.92%,Apr 2024,,
Monolith,-30%,"R$ 32,89",74.91%,Oct 2023,,
"Northend Tower Defense   2-year low: R$ 16,59",-30%,"R$ 18,54",74.90%,Sep 2024,,
Mega Man X Legacy Collection   current 2-year low,-60%,"R$ 26,76",74.87%,Jul 2018,,
Star Trucker  new historical low,-20%,"R$ 59,19",74.86%,Sep 2024,,
"古剑奇谭二(GuJian2)   all-time low: R$ 2,99 at -90%",-50%,"R$ 14,99",74.82%,Aug 2013,,
"Giana Sisters: Twisted Dreams  Week Long Deal all-time low: R$ 2,79 at -90%",-80%,"R$ 9,99",74.80%,Oct 2012,,
"The Third Day   all-time low: R$ 0,66 at -71%",-50%,"R$ 1,74",74.80%,Mar 2021,,
SEX with HITLER: WW2,-45%,"R$ 7,58",74.77%,Mar 2023,,
"Koi   all-time low: R$ 1,14 at -50%",-50%,"R$ 1,74",74.76%,Feb 2019,,
63 Days,-46%,"R$ 76,43",74.75%,Sep 2024,—,
江华号  new historical low,-50%,"R$ 16,49",74.74%,Dec 2023,,
The Grey Dream,-27%,"R$ 30,65",74.74%,Jan 2024,,
"The Amazing Shrinking Giraffe  Week Long Deal 2-year low: R$ 5,82",-25%,"R$ 10,49",74.72%,Feb 2020,,
Quadrober Simulator  Introductory Offernew historical low,-40%,"R$ 2,09",74.65%,Oct 2024,,
Shattered Heaven  new historical low,-50%,"R$ 29,99",74.64%,Nov 2023,,
Nope Nope Nurses,-70%,"R$ 11,39",74.59%,Jan 2022,,
"Minesweeper Ultimate   all-time low: R$ 3,24 at -50%",-50%,"R$ 5,24",74.58%,Sep 2021,,
"Dead Drop   all-time low: R$ 1,19 at -90%",-90%,"R$ 1,74",74.56%,Apr 2017,,
"Super Dungeon Boy   all-time low: R$ 1,14 at -50%",-50%,"R$ 1,74",74.56%,Nov 2017,,
Master Spy  Week Long Deal,-90%,"R$ 1,99",74.55%,Sep 2015,,
Final Vendetta,-75%,"R$ 11,87",74.52%,Jun 2022,,
"The Uncertain: Last Quiet Day   2-year low: R$ 3,10",-50%,"R$ 20,14",74.52%,Sep 2016,—,
"Sex Chess   all-time low: R$ 7,27 at -91%",-75%,"R$ 8,24",74.49%,Nov 2022,,
Maiden Cops,-20%,"R$ 26,39",74.46%,Sep 2024,,
"Fe   all-time low: R$ 14,75 at -75%",-75%,"R$ 27,25",74.45%,Feb 2018,,
OVER‧DeviL: Legend of the sacred stone  new historical low,-25%,"R$ 35,24",74.44%,Oct 2023,,
"The Shapeshifting Detective   all-time low: R$ 8,45 at -82%",-57%,"R$ 20,20",74.40%,Nov 2018,,
Untamed Tactics,-55%,"R$ 26,99",74.36%,Aug 2023,,
"幸存者少女/Survivor Girls   all-time low: R$ 3,07 at -12%",-21%,"R$ 5,52",74.31%,Dec 2023,,
Tree Bonsai  new historical low,-50%,"R$ 1,74",74.27%,Sep 2019,,
"Tiny Brains  Week Long Deal all-time low: R$ 1,99 at -90%",-80%,"R$ 4,13",74.23%,Dec 2013,,
Marine Park Empire  Introductory Offer,-75%,"R$ 3,49",74.23%,Aug 2004,,
Second Sight  Week Long Deal,-75%,"R$ 5,17",74.21%,Feb 2005,,
"The Flame in the Flood   all-time low: R$ 4,19 at -85%",-80%,"R$ 9,99",74.20%,Feb 2016,,
"CARNAGE OFFERING   all-time low: R$ 5,69 at -85%",-55%,"R$ 14,84",74.19%,Apr 2022,,
Dragon Marked For Death,-50%,"R$ 37,74",74.17%,Apr 2020,,
"Flintlock: The Siege of Dawn  Week Long Deal all-time low: R$ 73,49 at -30%",-30%,"R$ 83,30",74.17%,Jul 2024,,
Twin Mirror,-75%,"R$ 38,24",74.16%,Dec 2021,,
"The Book of Warriors   all-time low: R$ 13,27 at -20%",-40%,"R$ 16,20",74.15%,Jul 2023,—,
"Lifeless Planet Premier Edition   all-time low: R$ 7,39 at -80%",-60%,"R$ 14,11",74.12%,Jun 2014,,
"Galagan's Island: Reprymian Rising   all-time low: R$ 0,81 at -81%",-90%,"R$ 1,74",74.11%,Jun 2015,,
Aeterna Noctis  new historical low,-75%,"R$ 22,24",74.11%,Dec 2021,,
Lifeless Moon,-20%,"R$ 30,39",74.09%,Aug 2023,,
"Black Hole Simulator   all-time low: R$ 1,14 at -50%",-50%,"R$ 3,49",74.06%,Sep 2020,,
"Among Ass 2: Butt Warfare   all-time low: R$ 1,12 at -75%",-50%,"R$ 1,74",74.03%,Apr 2021,,
NARUTO: Ultimate Ninja STORM  Week Long Deal,-75%,"R$ 19,97",74.02%,Aug 2017,,
Phantom Rose,-50%,"R$ 14,49",74.02%,Aug 2019,,
Flotsam,-25%,"R$ 35,61",73.99%,Sep 2019,,
"Wild Romance: Mofu Mofu Edition   all-time low: R$ 11,59 at -60%",-60%,"R$ 19,99",73.97%,Nov 2017,,
"Accident   all-time low: R$ 14,49 at -50%",-45%,"R$ 28,69",73.96%,Sep 2021,—,
The Adventures of MICOCO  new historical low,-40%,"R$ 14,10",73.93%,Nov 2022,,
