Name,%,Price,Rating,Release,Ends,Started
"Redactem  Week Long Deal all-time low: R$ 0,66 at -71%",-50%,"R$ 1,74",64.34%,Aug 2016,in 3 hours,7 days ago
"To Be In Love With Girls Group   all-time low: R$ 16,49 at -50%",-40%,"R$ 19,79",64.22%,Mar 2024,in 2 days,12 days ago
Criminal Dissidia,-60%,"R$ 16,79",64.21%,Sep 2022,tomorrow,5 days ago
"Among Waifus 18+   all-time low: R$ 4,34 at -70%",-65%,"R$ 5,07",64.14%,Dec 2021,in 9 days,5 days ago
"NVL   2-year low: R$ 1,57",-55%,"R$ 3,14",64.09%,Dec 2017,in 3 hours,14 days ago
"Urban Trial Playground   all-time low: R$ 2,89 at -80%",-85%,"R$ 5,24",64.01%,Apr 2019,in 3 hours,14 days ago
"Tom Clancy’s Rainbow Six® Extraction   all-time low: R$ 25,49 at -85%",-75%,"R$ 42,49",64.01%,Jun 2023,in 6 days,8 days ago
Gamer Girls: Dating Sim,-70%,"R$ 4,34",64.01%,May 2022,in 9 days,5 days ago
"Who Pressed Mute on Uncle Marcus?   all-time low: R$ 9,39 at -80%",-56%,"R$ 20,67",64.00%,Mar 2022,in 9 days,5 days ago
Trials® Rising,-80%,"R$ 11,99",63.91%,Feb 2019,in 6 days,8 days ago
"Europa Universalis: Rome - Gold Edition  Week Long Deal 2-year low: R$ 4,24",-75%,"R$ 8,99",63.89%,Nov 2008,in 3 hours,6 days ago
"The Hunting God   all-time low: R$ 1,62 at -75%",-70%,"R$ 2,09",63.85%,Jul 2017,in 10 days,4 days ago
"King Lucas  Week Long Deal all-time low: R$ 1,15 at -89%",-66%,"R$ 5,77",63.84%,Dec 2016,in 3 hours,7 days ago
"Ball of Wonder   all-time low: R$ 1,08 at -90%",-33%,"R$ 75,36",63.83%,Oct 2016,—,5 days ago
Massive   current 2-year low,-90%,"R$ 3,79",63.77%,Aug 2020,3 days ago,17 days ago
"Moonshine Inc.   all-time low: R$ 29,99 at -50%",-29%,"R$ 56,59",63.77%,Dec 2022,—,5 days ago
"The Island: Into The Mist  Week Long Deal all-time low: R$ 10,34 at -50%",-30%,"R$ 23,09",63.76%,Jan 2019,in 3 hours,5 days ago
"ANKI  Week Long Deal all-time low: R$ 1,09 at -50%",-20%,"R$ 1,75",63.70%,Aug 2015,in 3 hours,7 days ago
"Gift Girl   all-time low: R$ 1,79 at -60%",-60%,"R$ 2,79",63.69%,Mar 2020,3 days ago,17 days ago
"Heaven Forest NIGHTS  Week Long Deal all-time low: R$ 0,67 at -69%",-50%,"R$ 1,74",63.59%,Mar 2017,in 3 hours,7 days ago
"Antigraviator  Week Long Deal 2-year low: R$ 9,49",-80%,"R$ 11,99",63.56%,Jun 2018,in 3 hours,7 days ago
"Welcome to ParadiZe   all-time low: R$ 59,14 at -35%",-18%,"R$ 88,18",63.55%,Feb 2024,—,5 days ago
"Monster Energy Supercross - The Official Videogame 6   all-time low: R$ 24,95 at -90%",-40%,"R$ 242,50",63.50%,Mar 2023,—,4 days ago
Outbreak: The New Nightmare,-85%,"R$ 4,03",63.48%,Jan 2018,in 7 days,7 days ago
Batora: Lost Haven  new historical low,-80%,"R$ 17,80",63.38%,Oct 2022,in 3 hours,14 days ago
"Romance of the Three Kingdoms VIII with Power Up Kit   all-time low: R$ 7,39 at -80%",-66%,"R$ 12,57",63.36%,Aug 2017,in 3 hours,4 days ago
"Perseus: Titan Slayer   all-time low: R$ 7,41 at -72%",-47%,"R$ 26,44",63.36%,Feb 2023,—,5 days ago
"Happy toys   all-time low: R$ 1,79 at -60%",-60%,"R$ 2,79",63.33%,Dec 2018,3 days ago,17 days ago
Virginia  Week Long Deal current 2-year low,-65%,"R$ 6,99",63.29%,Sep 2016,in 3 hours,7 days ago
Orgasm Simulator 2024 💦,-50%,"R$ 16,49",63.25%,Sep 2023,in 9 days,5 days ago
Panzer Strategy  Week Long Deal,-85%,"R$ 12,26",63.20%,Aug 2018,in 3 hours,7 days ago
"Plane Accident   all-time low: R$ 26,10 at -56%",-57%,"R$ 37,24",63.18%,Feb 2024,—,4 days ago
"The Isle Tide Hotel   all-time low: R$ 29,99 at -50%",-35%,"R$ 38,99",63.18%,Sep 2023,in 9 days,5 days ago
"Alaskan Road Truckers   all-time low: R$ 37,48 at -57%",-27%,"R$ 61,99",63.13%,Oct 2023,—,5 days ago
"Mia and the Dragon Princess   all-time low: R$ 23,49 at -50%",-35%,"R$ 30,54",63.05%,May 2023,in 9 days,5 days ago
"Mother Daughter Pleasure Pets   all-time low: R$ 9,29 at -69%",-50%,"R$ 14,99",63.04%,Sep 2019,4 days ago,18 days ago
